County,Date,Total Cases,New Cases,Total Deaths,New Deaths
San Luis Obispo,2022-01-03 16:57:03.372930,33857,0,367,0
Los Angeles,2022-01-03 16:57:20.018956,1741996,44710,27640,3
San Francisco,2022-01-03 16:57:33.579373,67926,0,682,0
Alameda,2022-01-03 16:57:48.535143,137131,0,1545,0
Contra Costa,2022-01-03 16:58:01.423596,112315,0,1073,0
San Diego,2022-01-03 16:58:17.894840,451082,0,4469,0
Riverside,2022-01-03 16:58:30.905953,415024,0,5585,0
San Bernardino,2022-01-03 16:58:45.687674,399021,0,6051,0
Orange,2022-01-03 16:58:58.889964,373143,0,5895,0
Sacramento,2022-01-03 16:59:14.906079,179588,0,2547,0
Santa Clara,2022-01-03 16:59:28.554976,166609,0,1970,0
Kern,2022-01-03 16:59:41.613569,165859,0,1918,0
Fresno,2022-01-03 16:59:56.539729,163067,0,2379,0
San Joaquin,2022-01-03 17:00:09.740714,112741,0,1902,0
Ventura,2022-01-03 17:00:22.859395,112871,0,1211,0
Stanislaus,2022-01-03 17:00:38.782960,96598,0,1478,0
Tulare,2022-01-03 17:00:52.454011,89686,0,1160,0
San Mateo,2022-01-03 17:01:07.102976,63074,0,636,0
Monterey,2022-01-03 17:01:19.526008,55161,0,649,0
Santa Barbara,2022-01-03 17:01:34.934235,51399,0,568,0
Solano,2022-01-03 17:01:49.302861,50405,0,379,0
Merced,2022-01-03 17:02:03.112933,47982,0,701,0
County,Date,Total Cases,New Cases,Total Deaths,New Deaths
San Luis Obispo,2022-01-04 09:17:42.969064,33857,0,367,0
Los Angeles,2022-01-04 09:17:56.521400,1758226,16230,27647,7
San Francisco,2022-01-04 09:18:10.188063,67926,0,682,0
Alameda,2022-01-04 09:18:23.131676,137131,0,1546,2
Contra Costa,2022-01-04 09:18:37.111543,112315,0,1073,0
San Diego,2022-01-04 09:18:50.877728,451082,0,4469,0
Riverside,2022-01-04 09:19:03.725710,415024,0,5589,4
San Bernardino,2022-01-04 09:19:16.863256,399021,0,6051,0
Orange,2022-01-04 09:19:29.983595,373143,14574,5895,5
Sacramento,2022-01-04 09:19:42.894701,179927,339,2547,0
Santa Clara,2022-01-04 09:19:56.575156,174330,7721,1970,0
Kern,2022-01-04 09:20:10.614496,165859,3092,1918,0
Fresno,2022-01-04 09:20:23.112309,163067,0,2379,0
San Joaquin,2022-01-04 09:20:36.542242,112741,0,1902,0
Ventura,2022-01-04 09:20:50.293186,112871,0,1211,0
Stanislaus,2022-01-04 09:21:03.236927,96598,0,1478,0
Tulare,2022-01-04 09:21:16.531918,89686,0,1160,0
San Mateo,2022-01-04 09:21:31.777281,64291,1217,636,0
Monterey,2022-01-04 09:21:45.690094,55161,0,650,1
Santa Barbara,2022-01-04 09:21:59.138199,51399,0,568,0
Solano,2022-01-04 09:22:12.284413,50405,0,379,0
Merced,2022-01-04 09:22:24.961085,47982,812,701,2
County,Date,Total Cases,New Cases,Total Deaths,New Deaths
San Luis Obispo,2022-01-05 11:24:01.893353,35182,1325,367,0
Los Angeles,2022-01-05 11:24:15.970598,1780858,22632,27671,24
San Francisco,2022-01-05 11:24:30.440291,72743,4817,686,4
Alameda,2022-01-05 11:24:44.508667,145735,8604,1546,0
Contra Costa,2022-01-05 11:24:58.851669,117688,5373,1073,0
San Diego,2022-01-05 11:25:12.269888,475149,24067,4476,7
Riverside,2022-01-05 11:25:26.511616,428055,13031,5589,0
San Bernardino,2022-01-05 11:25:39.681321,414681,15660,6056,5
Orange,2022-01-05 11:25:52.450277,379073,5930,5897,2
Sacramento,2022-01-05 11:26:05.274322,186018,6091,2552,5
Santa Clara,2022-01-05 11:26:18.615844,176928,2598,1964,0
Kern,2022-01-05 11:26:31.260140,166183,324,1918,0
